edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.559287716Z level=info msg="Migration successfully executed" id="create anon_device table" duration=400.875µs
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.56017855Z level=info msg="Executing migration" id="add unique index anon_device.device_id"
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.560591508Z level=info msg="Migration successfully executed" id="add unique index anon_device.device_id" duration=413.375µs
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.56161305Z level=info msg="Executing migration" id="add index anon_device.updated_at"
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.561957633Z level=info msg="Migration successfully executed" id="add index anon_device.updated_at" duration=345.25µs
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.562741883Z level=info msg="Executing migration" id="create signing_key table"
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.563020758Z level=info msg="Migration successfully executed" id="create signing_key table" duration=279.167µs
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.563868383Z level=info msg="Executing migration" id="add unique index signing_key.key_id"
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.5641898Z level=info msg="Migration successfully executed" id="add unique index signing_key.key_id" duration=321.625µs
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.564900091Z level=info msg="Executing migration" id="set legacy alert migration status in kvstore"
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.565240175Z level=info msg="Migration successfully executed" id="set legacy alert migration status in kvstore" duration=340.5µs
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.565926675Z level=info msg="Executing migration" id="migrate record of created folders during legacy migration to kvstore"
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.566002175Z level=info msg="Migration successfully executed" id="migrate record of created folders during legacy migration to kvstore" duration=75.833µs
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.566666883Z level=info msg="Executing migration" id="Add folder_uid for dashboard"
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.568909883Z level=info msg="Migration successfully executed" id="Add folder_uid for dashboard" duration=2.24325ms
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.569523216Z level=info msg="Executing migration" id="Populate dashboard folder_uid column"
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.569702758Z level=info msg="Migration successfully executed" id="Populate dashboard folder_uid column" duration=179.834µs
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.570223383Z level=info msg="Executing migration" id="Add unique index for dashboard_org_id_folder_uid_title"
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.57023005Z level=info msg="Migration successfully executed" id="Add unique index for dashboard_org_id_folder_uid_title" duration=6.875µs
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.570784633Z level=info msg="Executing migration" id="Delete unique index for dashboard_org_id_folder_id_title"
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.571077633Z level=info msg="Migration successfully executed" id="Delete unique index for dashboard_org_id_folder_id_title" duration=293.125µs
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.571701008Z level=info msg="Executing migration" id="Delete unique index for dashboard_org_id_folder_uid_title"
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.571706883Z level=info msg="Migration successfully executed" id="Delete unique index for dashboard_org_id_folder_uid_title" duration=6.083µs
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.572151383Z level=info msg="Executing migration" id="Add unique index for dashboard_org_id_folder_uid_title_is_folder"
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.572495716Z level=info msg="Migration successfully executed" id="Add unique index for dashboard_org_id_folder_uid_title_is_folder" duration=344.25µs
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.5731008Z level=info msg="Executing migration" id="Restore index for dashboard_org_id_folder_id_title"
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.573444758Z level=info msg="Migration successfully executed" id="Restore index for dashboard_org_id_folder_id_title" duration=344.209µs
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.574046925Z level=info msg="Executing migration" id="create sso_setting table"
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.574318091Z level=info msg="Migration successfully executed" id="create sso_setting table" duration=271.167µs
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.57505355Z level=info msg="Executing migration" id="copy kvstore migration status to each org"
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.575277758Z level=info msg="Migration successfully executed" id="copy kvstore migration status to each org" duration=224.75µs
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.575849633Z level=info msg="Executing migration" id="add back entry for orgid=0 migrated status"
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.575905883Z level=info msg="Migration successfully executed" id="add back entry for orgid=0 migrated status" duration=56.333µs
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.576476383Z level=info msg="Executing migration" id="managed dashboard permissions annotation actions migration"
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.576650716Z level=info msg="Migration successfully executed" id="managed dashboard permissions annotation actions migration" duration=174.375µs
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.577155425Z level=info msg="Executing migration" id="create cloud_migration table v1"
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.577423758Z level=info msg="Migration successfully executed" id="create cloud_migration table v1" duration=268.375µs
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.57810505Z level=info msg="Executing migration" id="create cloud_migration_run table v1"
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.578325466Z level=info msg="Migration successfully executed" id="create cloud_migration_run table v1" duration=220.584µs
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.57896455Z level=info msg="Executing migration" id="add stack_id column"
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.5812448Z level=info msg="Migration successfully executed" id="add stack_id column" duration=2.27975ms
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.582008591Z level=info msg="Executing migration" id="add region_slug column"
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.58437555Z level=info msg="Migration successfully executed" id="add region_slug column" duration=2.367125ms
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.585134508Z level=info msg="Executing migration" id="add cluster_slug column"
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.587459008Z level=info msg="Migration successfully executed" id="add cluster_slug column" duration=2.325209ms
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.5881323Z level=info msg="Executing migration" id="add migration uid column"
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.59038755Z level=info msg="Migration successfully executed" id="add migration uid column" duration=2.256167ms
