edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.091448506Z level=info msg="Executing migration" id="create anon_device table"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.091640923Z level=info msg="Migration successfully executed" id="create anon_device table" duration=192.458µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.092232798Z level=info msg="Executing migration" id="add unique index anon_device.device_id"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.092503673Z level=info msg="Migration successfully executed" id="add unique index anon_device.device_id" duration=270.958µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.093198798Z level=info msg="Executing migration" id="add index anon_device.updated_at"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.093483173Z level=info msg="Migration successfully executed" id="add index anon_device.updated_at" duration=284.5µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.094109131Z level=info msg="Executing migration" id="create signing_key table"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.094293131Z level=info msg="Migration successfully executed" id="create signing_key table" duration=184.083µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.094948756Z level=info msg="Executing migration" id="add unique index signing_key.key_id"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.095213131Z level=info msg="Migration successfully executed" id="add unique index signing_key.key_id" duration=264.541µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.095849048Z level=info msg="Executing migration" id="set legacy alert migration status in kvstore"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.096159131Z level=info msg="Migration successfully executed" id="set legacy alert migration status in kvstore" duration=309.834µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.098870923Z level=info msg="Executing migration" id="migrate record of created folders during legacy migration to kvstore"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.098923548Z level=info msg="Migration successfully executed" id="migrate record of created folders during legacy migration to kvstore" duration=52.833µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.099475381Z level=info msg="Executing migration" id="Add folder_uid for dashboard"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.101585298Z level=info msg="Migration successfully executed" id="Add folder_uid for dashboard" duration=2.10975ms
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.102185048Z level=info msg="Executing migration" id="Populate dashboard folder_uid column"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.102316256Z level=info msg="Migration successfully executed" id="Populate dashboard folder_uid column" duration=131.375µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.102903173Z level=info msg="Executing migration" id="Add unique index for dashboard_org_id_folder_uid_title"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.102908256Z level=info msg="Migration successfully executed" id="Add unique index for dashboard_org_id_folder_uid_title" duration=5.25µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.103334339Z level=info msg="Executing migration" id="Delete unique index for dashboard_org_id_folder_id_title"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.103593673Z level=info msg="Migration successfully executed" id="Delete unique index for dashboard_org_id_folder_id_title" duration=259.292µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.104167506Z level=info msg="Executing migration" id="Delete unique index for dashboard_org_id_folder_uid_title"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.104172173Z level=info msg="Migration successfully executed" id="Delete unique index for dashboard_org_id_folder_uid_title" duration=4.833µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.104606964Z level=info msg="Executing migration" id="Add unique index for dashboard_org_id_folder_uid_title_is_folder"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.104892339Z level=info msg="Migration successfully executed" id="Add unique index for dashboard_org_id_folder_uid_title_is_folder" duration=285.458µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.105543631Z level=info msg="Executing migration" id="Restore index for dashboard_org_id_folder_id_title"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.105838048Z level=info msg="Migration successfully executed" id="Restore index for dashboard_org_id_folder_id_title" duration=294.458µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.106408714Z level=info msg="Executing migration" id="create sso_setting table"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.106637339Z level=info msg="Migration successfully executed" id="create sso_setting table" duration=228.75µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.107231256Z level=info msg="Executing migration" id="copy kvstore migration status to each org"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.107410381Z level=info msg="Migration successfully executed" id="copy kvstore migration status to each org" duration=179.333µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.108024673Z level=info msg="Executing migration" id="add back entry for orgid=0 migrated status"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.108069714Z level=info msg="Migration successfully executed" id="add back entry for orgid=0 migrated status" duration=45.541µs
